saturated steam tables - metric units,,,,,,
,,,Water,Evap'n,Steam,Sp. Vol
74,7400,290.6,1292.3,1473,2765.3,0.0254
75,7500,291.51,1297.2,1466.6,2763.8,0.025
76,7600,292.41,1302.3,1460.2,2762.5,0.0246
77,7700,293.91,1307,1453.9,2760.9,0.0242
78,7800,294.2,1311.9,1447.6,2759.9,0.0239
79,7900,295.1,1316.7,1441.3,2758,0.0236
80,8000,295.96,1312.5,1435,2756.5,0.0233
81,8100,296.81,1326.2,1428.7,2754.9,0.0229
82,8200,297.66,1330.9,1422.5,2753.4,0.0226
83,8300,298.5,1335.7,1416.2,2751.9,0.0223
84,8400,299.35,1340.3,1410,2750.3,0.022
85,8500,300.2,1345,1403.8,2748.8,0.0217
86,8600,301,1349.6,1397.6,2747.2,0.0214
87,8700,301.81,1354.2,1391.3,2745.5,0.0211
88,8800,302.61,1358.8,1385.2,2744,0.0208
89,8900,303.41,1363.3,1379,2742.3,0.0205
90,9000,304.2,1367.8,1372.7,2740.5,0.0202
92,9200,305.77,1376.8,1360.3,2737.1,0.0197
94,9400,307.24,1385.7,1348,2733.7,0.0192
96,9600,308.83,1394.5,1335.7,2730.2,0.0187
98,9800,310.32,1403.2,1323.3,2726.5,0.0183
100,10000,311.79,1411.9,1310.9,2722.8,0.0178
102,10200,313.24,1420.5,1298.7,2719.2,0.0174
104,10400,314.67,1429,1286.3,2715.3,0.017
106,10600,316.08,1437.5,1274,2711.5,0.0166
108,10800,317.46,1445.9,1261.7,2707.6,0.0162
110,11000,318.83,1454.3,1249.3,2703.6,0.0158
112,11200,320.17,1462.6,1237,2699.6,0.0154
114,11400,321.5,1470.8,1224.6,2695.4,0.015
116,11600,322.81,1479,1212.2,2691.2,0.0147
118,11800,324.1,1487.2,1199.8,2687,0.0144
120,12000,325.38,1495.4,1187.3,2682.7,0.0141
